bigram,count,U.S. NEWS,COMEDY,PARENTING,WORLD NEWS,CULTURE & ARTS,TECH,SPORTS,ENTERTAINMENT,POLITICS,WEIRD NEWS,ENVIRONMENT,EDUCATION,CRIME,SCIENCE,WELLNESS,BUSINESS,STYLE & BEAUTY,FOOD & DRINK,MEDIA,QUEER VOICES,HOME & LIVING,WOMEN,BLACK VOICES,TRAVEL,MONEY,RELIGION,LATINO VOICES,IMPACT,WEDDINGS,COLLEGE,PARENTS,ARTS & CULTURE,STYLE,GREEN,HEALTHY LIVING,TASTE,THE WORLDPOST,GOOD NEWS,WORLDPOST,FIFTY,ARTS,DIVORCE
donald_trump,4594,0.0,581.0,0.0,17.0,0.0,5.0,38.0,386.0,2993.0,42.0,0.0,3.0,0.0,0.0,0.0,34.0,0.0,0.0,204.0,46.0,0.0,34.0,25.0,0.0,0.0,16.0,29.0,0.0,0.0,6.0,7.0,30.0,6.0,8.0,6.0,0.0,55.0,0.0,2.0,5.0,0.0,0.0
hillari_clinton,1321,0.0,38.0,0.0,0.0,0.0,0.0,0.0,49.0,1052.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,0.0,24.0,13.0,0.0,43.0,12.0,0.0,0.0,3.0,5.0,3.0,0.0,2.0,9.0,7.0,8.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
new_york,1214,24.0,11.0,13.0,0.0,13.0,17.0,43.0,52.0,206.0,6.0,15.0,8.0,36.0,0.0,31.0,38.0,198.0,25.0,102.0,52.0,41.0,9.0,24.0,95.0,7.0,8.0,8.0,10.0,8.0,6.0,6.0,16.0,17.0,13.0,13.0,9.0,5.0,5.0,0.0,0.0,12.0,5.0
white_hous,867,7.0,45.0,0.0,0.0,0.0,6.0,7.0,30.0,621.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,26.0,0.0,31.0,11.0,0.0,4.0,12.0,0.0,0.0,6.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
berni_sander,699,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,626.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
suprem_court,677,14.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
health_care,653,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,0.0,0.0,0.0,0.0,0.0,94.0,15.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,19.0,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
climat_chang,587,3.0,12.0,0.0,17.0,0.0,5.0,0.0,0.0,209.0,0.0,83.0,0.0,0.0,22.0,0.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,142.0,0.0,0.0,14.0,0.0,6.0,0.0,0.0,0.0
new_year,528,3.0,11.0,25.0,5.0,0.0,0.0,0.0,31.0,0.0,5.0,0.0,0.0,9.0,2.0,136.0,9.0,31.0,26.0,0.0,9.0,24.0,0.0,0.0,35.0,9.0,8.0,2.0,9.0,6.0,0.0,13.0,0.0,6.0,2.0,30.0,7.0,13.0,2.0,5.0,3.0,0.0,12.0
look_like,459,0.0,21.0,16.0,0.0,2.0,4.0,21.0,54.0,62.0,11.0,3.0,3.0,0.0,7.0,16.0,6.0,70.0,14.0,0.0,0.0,18.0,11.0,6.0,18.0,3.0,6.0,3.0,0.0,0.0,2.0,14.0,4.0,16.0,3.0,11.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0
